iter	Passed	Remaining
0	61	61908
1	75	37817
2	89	29891
3	103	25784
4	115	22971
5	124	20558
6	130	18530
7	135	16826
8	140	15455
9	145	14363
10	149	13472
11	154	12715
12	159	12077
13	163	11526
14	168	11062
15	173	10653
16	177	10290
17	182	9970
18	187	9686
19	192	9428
20	197	9190
21	201	8978
22	206	8779
23	211	8598
24	216	8425
25	220	8270
26	225	8130
27	230	8000
28	235	7871
29	239	7748
30	244	7636
31	249	7534
32	253	7434
33	258	7345
34	263	7261
35	267	7174
36	272	7102
37	277	7034
38	282	6964
39	287	6900
40	291	6828
41	296	6768
42	301	6707
43	306	6650
44	310	6594
45	315	6542
46	320	6489
47	324	6441
48	329	6394
49	334	6353
50	339	6308
51	343	6263
52	348	6223
53	352	6182
54	357	6144
55	362	6106
56	366	6071
57	371	6039
58	376	6004
59	381	5974
60	386	5942
61	390	5913
62	395	5883
63	400	5856
64	405	5827
65	409	5801
66	414	5774
67	419	5748
68	423	5720
69	428	5696
70	433	5672
71	438	5648
72	442	5624
73	447	5599
74	452	5574
75	456	5552
76	461	5530
77	466	5510
78	471	5496
79	480	5521
80	488	5547
81	498	5579
82	507	5611
83	514	5605
84	519	5587
85	523	5566
86	528	5551
87	533	5532
88	538	5512
89	543	5492
90	548	5475
91	553	5458
92	557	5440
93	562	5421
94	567	5402
95	572	5393
96	577	5377
97	582	5359
98	587	5343
99	591	5327
100	596	5310
101	601	5295
102	606	5280
103	610	5263
104	615	5248
105	620	5233
106	625	5217
107	629	5203
108	634	5188
109	639	5174
110	644	5160
111	649	5148
112	653	5133
113	658	5118
114	663	5105
115	668	5092
116	672	5077
117	677	5063
118	682	5050
119	686	5036
120	691	5023
121	696	5009
122	700	4996
123	705	4983
124	710	4971
125	715	4960
126	719	4948
127	724	4937
128	730	4929
129	735	4918
130	739	4907
131	744	4895
132	749	4884
133	754	4874
134	759	4864
135	763	4853
136	768	4842
137	773	4831
138	778	4819
139	782	4809
140	787	4798
141	792	4787
142	797	4777
143	802	4767
144	807	4758
145	812	4749
146	816	4739
147	821	4730
148	826	4720
149	831	4712
150	836	4702
151	840	4691
152	845	4681
153	850	4672
154	855	4662
155	859	4652
156	864	4642
157	869	4631
158	873	4622
159	878	4613
160	883	4604
161	888	4594
162	892	4585
163	897	4575
164	902	4566
165	906	4556
166	911	4547
167	916	4540
168	921	4531
169	926	4522
170	930	4513
171	935	4504
172	940	4494
173	945	4486
174	949	4477
175	954	4469
176	959	4460
177	964	4452
178	969	4445
179	973	4436
180	978	4427
181	983	4419
182	987	4410
183	993	4404
184	998	4398
185	1002	4389
186	1007	4381
187	1012	4374
188	1017	4365
189	1022	4357
190	1027	4350
191	1032	4343
192	1036	4334
193	1041	4326
194	1046	4318
195	1050	4310
196	1055	4302
197	1060	4294
198	1064	4286
199	1069	4279
200	1074	4271
201	1079	4264
202	1084	4257
203	1089	4249
204	1096	4254
205	1102	4249
206	1107	4242
207	1112	4235
208	1117	4227
209	1121	4219
210	1126	4212
211	1131	4204
212	1135	4196
213	1140	4189
214	1145	4181
215	1150	4174
216	1154	4167
217	1159	4159
218	1164	4152
219	1169	4145
220	1174	4138
221	1178	4130
222	1183	4123
223	1188	4115
224	1192	4108
225	1197	4100
226	1202	4093
227	1206	4086
228	1211	4079
229	1216	4071
230	1221	4064
231	1225	4057
232	1230	4050
233	1235	4044
234	1240	4036
235	1244	4029
236	1249	4023
237	1255	4020
238	1260	4013
239	1265	4006
240	1269	3998
241	1274	3991
242	1279	3984
243	1283	3977
244	1288	3971
245	1293	3964
246	1298	3957
247	1302	3950
248	1307	3943
249	1312	3937
250	1317	3930
251	1321	3923
252	1326	3916
253	1331	3910
254	1336	3903
255	1341	3897
256	1345	3890
257	1350	3883
258	1355	3877
259	1359	3870
260	1364	3863
261	1369	3857
262	1374	3851
263	1379	3844
264	1383	3837
265	1388	3831
266	1393	3825
267	1398	3818
268	1402	3812
269	1407	3806
270	1412	3799
271	1417	3793
272	1421	3786
273	1426	3780
274	1431	3773
275	1436	3767
276	1440	3760
277	1445	3754
278	1450	3748
279	1454	3741
280	1459	3735
